wealth,age,educ,marry
16839.,24,4,0
9398.,26,2,0
2836.,26,3,0
1598.,21,3,0
98828.,43,4,1
1577111.,51,5,1
8267.,23,2,1
3495.,22,3,0
1497401.,76,5,1
99592.,52,3,1
17402.,31,2,1
23374.,44,3,0
2717.,28,3,1
211579.,55,1,1
3540.,27,3,1
34998.,30,3,0
59111.,31,1,1
271669.,58,2,1
1236042.,48,5,0
326342.,54,2,1
14662.,30,1,0
48630.,35,4,1
18060.,55,3,1
636731.,62,4,1
148801.,50,2,1
30266.,50,2,1
81127.,37,4,1
5230.,28,3,1
22722.,30,2,1
9269.,25,2,1
122500.,56,5,1
86337.,32,5,0
242468.,50,5,1
59989.,80,5,1
92929.,64,3,0
159018.,40,3,1
5568.,35,1,1
50112.,46,3,1
283331.,26,4,0
59347.,36,2,1
4011.,24,4,0
112690.,62,2,1
63093.,39,2,1
79641.,34,1,1
978473.,52,4,1
10552.,28,3,1
121357.,59,2,0
1564785.,46,2,1
18253.,25,1,1
12686.,46,2,0
508821.,45,5,1
124287.,47,5,1
54670.,64,5,1
45190.,38,4,1
246894.,63,1,0
30581.,35,1,1
20251.,35,5,1
3121.,23,2,0
86915.,53,2,0
790880.,50,4,1
160372.,44,1,0
201333.,54,2,1
1398566.,63,4,1
20959.,47,2,1
10645.,33,1,0
586971.,50,5,0
56385.,39,4,1
429365.,48,5,1
401416.,35,3,1
102600.,45,4,1
23221.,34,3,1
8204.,27,2,0
81758.,33,4,1
313042.,51,4,0
25868.,37,2,0
125810.,48,4,1
13721.,29,5,0
115599.,54,2,1
13218.,32,5,0
5122.,29,4,1
374709.,57,2,0
389917.,55,2,1
21574.,32,2,1
62523.,41,2,0
49590.,46,3,0
222586.,37,5,0
774194.,47,4,1
445458.,51,2,0
7997.,23,2,0
296680.,52,4,0
37175.,37,1,1
95055.,38,5,1
34558.,35,2,1
452626.,63,5,1
60103.,45,5,1
84426.,36,4,0
343473.,32,3,1
49140.,68,3,1
488476.,43,4,0
87682.,35,1,1
6023.,37,4,0
8196.,26,4,1
166057.,43,3,0
14701.,30,3,1
23327.,59,3,1
2908.,27,5,0
21641.,33,3,1
228361.,59,3,0
140873.,48,2,0
4581.,24,3,0
11175.,46,1,0
578247.,34,5,1
14378.,30,4,1
229511.,41,3,0
7346.,38,4,1
54964.,48,1,1
35918.,36,1,1
35791.,26,4,1
27456.,36,2,1
4356.,29,3,0
678969.,46,5,1
135472.,37,2,0
409206.,40,3,1
38338.,32,2,0
195769.,59,3,1
79667.,61,3,0
236673.,46,2,1
26089.,29,4,1
118134.,67,2,1
84897.,38,2,0
36785.,48,5,1
225264.,57,3,1
1204593.,50,3,0
37053.,61,4,1
28204.,30,3,0
190420.,63,4,1
154743.,30,3,1
9429.,22,4,0
251115.,43,3,1
16789.,33,3,0
10968.,26,2,1
21319.,29,3,0
2819.,23,3,0
643.,21,2,0
3111.,25,4,0
137371.,44,4,1
14856.,28,4,0
450785.,61,2,0
118683.,33,4,0
15401.,24,4,0
194954.,32,3,0
83853.,29,5,0
249558.,34,3,1
28390.,30,4,1
25655.,33,3,0
1271.,26,3,0
121275.,49,4,1
15255.,59,4,1
65073.,51,1,0
7529.,25,3,0
146027.,40,4,1
722097.,55,4,1
75107.,38,2,1
32183.,42,3,0
46298.,47,2,0
149140.,62,3,1
427212.,46,3,1
1582221.,55,3,0
886000.,60,4,1
6058.,25,3,1
29395.,38,5,1
1489718.,43,2,0
384.,22,2,0
3822318.,44,3,1
117111.,37,2,0
44183.,30,3,0
52921.,33,5,0
38273.,50,2,0
430748.,48,5,1
32117.,50,3,0
2950137.,68,4,1
159829.,39,4,1
7903.,26,3,1
6005.,27,2,0
287432.,37,4,0
110040.,50,4,1
2976.,27,3,0
